"Organizace","P1.vysledky","P1.body","P2.bonifikace","P2.excelent","P3.body","Body2012","Celkem","Soubor","URL"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / Fakulta agrobiologie, potravinovĂ˝ch a pĹ™Ă­rodnĂ­ch zdrojĹŻ","857,133","17Â 417,423","0,000","1Â 971,317","1Â 515,812","628,391","21Â 532,943","H14_orjk_41210.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41210.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / Fakulta lesnickĂˇ a dĹ™evaĹ™skĂˇ","367,850","9Â 076,125","0,000","1Â 342,141","902,547","4Â 358,915","15Â 679,728","H14_orjk_41320.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41320.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / Fakulta tropickĂ©ho zemÄ›dÄ›lstvĂ­","79,199","1Â 926,070","0,000","452,197","66,066","36,143","2Â 480,476","H14_orjk_41340.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41340.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / Fakulta ĹľivotnĂ­ho prostĹ™edĂ­","297,215","8Â 789,020","0,000","1Â 528,878","754,542","5Â 179,866","16Â 252,306","H14_orjk_41330.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41330.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / Institut vzdÄ›lĂˇvĂˇnĂ­ a poradenstvĂ­","8,264","119,074","0,000","11,871","0,000","0,000","130,945","H14_orjk_41600.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41600.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / Katedra tÄ›lesnĂ© vĂ˝chovy","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_41630.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41630.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / (nerozliĹˇenĂˇ souÄŤĂˇst)","0,000","0,000","0,000","0,923","0,000","0,000","0,923","H14_ico_60460709_.xlsx","http://www.isvav.cz/h14/export/H14_ico_60460709_.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / ProvoznÄ› ekonomickĂˇ fakulta","652,457","7Â 655,613","0,000","814,690","31,446","862,031","9Â 363,780","H14_orjk_41110.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41110.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / RektorĂˇt","0,000","0,000","0,000","1,617","38,559","0,000","40,176","H14_orjk_41810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41810.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / StudijnĂ­ a informaÄŤnĂ­ centrum","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_41640.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41640.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / Ĺ kolnĂ­ zemÄ›dÄ›lskĂ˝ podnik se sĂ­dlem v Kostelci nad ÄŚernĂ˝mi lesy","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_41690.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41690.xlsx"
"ÄŚeskĂˇ zemÄ›dÄ›lskĂˇ univerzita v Praze / Ĺ kolnĂ­ zemÄ›dÄ›lskĂ˝ podnik se sĂ­dlem v LĂˇnech","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_41680.xlsx","http://www.isvav.cz/h14/export/H14_orjk_41680.xlsx"
