"Organizace","P1.vysledky","P1.body","P2.bonifikace","P2.excelent","P3.body","Body2012","Celkem","Soubor","URL"
"NĂˇrodnĂ­ zemÄ›dÄ›lskĂ© muzeum Praha","65,921","799,700","0,000","94,911","76,364","0,000","970,975","H14_ico_75075741.xlsx","http://www.isvav.cz/h14/export/H14_ico_75075741.xlsx"
"NĂˇrodohospodĂˇĹ™skĂ˝ Ăşstav AV ÄŚR, v. v. i.","82,534","3Â 666,991","0,000","630,914","149,060","46,907","4Â 493,872","H14_ico_67985998.xlsx","http://www.isvav.cz/h14/export/H14_ico_67985998.xlsx"
"Nemocnice Na Bulovce","58,190","1Â 345,521","0,000","144,993","254,698","0,000","1Â 745,212","H14_ico_00064211.xlsx","http://www.isvav.cz/h14/export/H14_ico_00064211.xlsx"
"Nemocnice Na Homolce","193,219","4Â 469,115","0,000","457,509","251,916","0,000","5Â 178,540","H14_ico_00023884.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023884.xlsx"
"NEWTON College, a.s.","1,395","30,130","0,000","3,493","0,000","0,000","33,623","H14_ico_27081869.xlsx","http://www.isvav.cz/h14/export/H14_ico_27081869.xlsx"
"OrientĂˇlnĂ­ Ăşstav AV ÄŚR, v. v. i.","94,242","1Â 949,223","0,000","204,944","0,801","0,000","2Â 154,968","H14_ico_68378009.xlsx","http://www.isvav.cz/h14/export/H14_ico_68378009.xlsx"
"OSEVA vĂ˝voj a vĂ˝zkum s.r.o.","33,410","269,064","0,000","117,036","289,066","545,990","1Â 221,156","H14_ico_26791251.xlsx","http://www.isvav.cz/h14/export/H14_ico_26791251.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / Centrum excelence IT4Innovations, divize OU, Ăšstav pro vĂ˝zkum a aplikace fuzzy modelovĂˇnĂ­","200,032","6Â 917,477","0,000","678,123","11,041","284,946","7Â 891,587","H14_orjk_17610.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17610.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / Centrum informaÄŤnĂ­ch a poradenskĂ˝ch sluĹľeb","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_17650.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17650.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / Centrum informaÄŤnĂ­ch technologiĂ­","0,000","0,000","0,000","4,432","0,000","0,000","4,432","H14_orjk_17630.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17630.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / EvropskĂ˝ vĂ˝zkumnĂ˝ institut sociĂˇlnĂ­ prĂˇce","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_17670.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17670.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / Fakulta sociĂˇlnĂ­ch studiĂ­","28,771","543,778","0,000","56,640","0,000","0,000","600,418","H14_orjk_17200.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17200.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / Fakulta umÄ›nĂ­","13,001","329,311","0,000","39,763","0,000","0,000","369,074","H14_orjk_17500.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17500.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / FilozofickĂˇ fakulta","494,794","9Â 761,044","0,000","932,210","19,136","0,000","10Â 712,390","H14_orjk_17250.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17250.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / LĂ©kaĹ™skĂˇ fakulta","276,008","3Â 412,714","0,000","303,244","157,842","0,000","3Â 873,800","H14_orjk_17110.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17110.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / (nerozliĹˇenĂˇ souÄŤĂˇst)","0,006","0,289","0,000","0,029","0,000","0,000","0,318","H14_ico_61988987_.xlsx","http://www.isvav.cz/h14/export/H14_ico_61988987_.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / PedagogickĂˇ fakulta","236,781","4Â 495,155","0,000","485,881","0,000","68,085","5Â 049,121","H14_orjk_17450.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17450.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / PĹ™Ă­rodovÄ›deckĂˇ fakulta","392,191","8Â 200,036","0,000","807,843","26,256","222,231","9Â 256,366","H14_orjk_17310.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17310.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / RektorĂˇt","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_17810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17810.xlsx"
"OstravskĂˇ univerzita v OstravÄ› / UniverzitnĂ­ knihovna","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_17640.xlsx","http://www.isvav.cz/h14/export/H14_orjk_17640.xlsx"
"PamĂˇtnĂ­k nĂˇrodnĂ­ho pĂ­semnictvĂ­","26,001","335,042","0,000","22,973","0,000","0,000","358,015","H14_ico_00023311.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023311.xlsx"
"PolicejnĂ­ akademie ÄŚeskĂ© republiky v Praze","145,760","1Â 618,292","0,000","192,917","0,000","0,000","1Â 811,209","H14_ico_48135445.xlsx","http://www.isvav.cz/h14/export/H14_ico_48135445.xlsx"
"PsychologickĂ˝ Ăşstav AV ÄŚR, v. v. i.","108,860","1Â 848,543","0,000","219,584","0,000","23,453","2Â 091,580","H14_ico_68081740.xlsx","http://www.isvav.cz/h14/export/H14_ico_68081740.xlsx"
"RevmatologickĂ˝ Ăşstav","104,179","2Â 449,292","0,000","360,434","659,830","0,000","3Â 469,556","H14_ico_00023728.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023728.xlsx"
"SlezskĂˇ univerzita v OpavÄ› / Fakulta veĹ™ejnĂ˝ch politik v OpavÄ›","64,153","1Â 039,750","0,000","81,667","0,000","0,000","1Â 121,417","H14_orjk_19510.xlsx","http://www.isvav.cz/h14/export/H14_orjk_19510.xlsx"
"SlezskĂˇ univerzita v OpavÄ› / Filozoficko-pĹ™Ă­rodovÄ›deckĂˇ fakulta","375,351","10Â 659,904","0,000","871,007","0,000","0,000","11Â 530,911","H14_orjk_19240.xlsx","http://www.isvav.cz/h14/export/H14_orjk_19240.xlsx"
"SlezskĂˇ univerzita v OpavÄ› / MatematickĂ˝ Ăşstav v OpavÄ›","73,300","3Â 835,125","0,000","385,747","0,000","21,919","4Â 242,791","H14_orjk_19610.xlsx","http://www.isvav.cz/h14/export/H14_orjk_19610.xlsx"
"SlezskĂˇ univerzita v OpavÄ› / (nerozliĹˇenĂˇ souÄŤĂˇst)","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_47813059_.xlsx","http://www.isvav.cz/h14/export/H14_ico_47813059_.xlsx"
"SlezskĂˇ univerzita v OpavÄ› / ObchodnÄ› podnikatelskĂˇ fakulta v KarvinĂ©","488,909","4Â 566,669","0,000","419,804","0,000","0,000","4Â 986,473","H14_orjk_19520.xlsx","http://www.isvav.cz/h14/export/H14_orjk_19520.xlsx"
"SlezskĂˇ univerzita v OpavÄ› / RektorĂˇt - administrativnĂ­ a prĂˇvnĂ­ Ăştvar SU","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_19810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_19810.xlsx"
"SlezskĂˇ univerzita v OpavÄ› / VzdÄ›lĂˇvacĂ­ centrum v KrnovÄ›","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_19620.xlsx","http://www.isvav.cz/h14/export/H14_orjk_19620.xlsx"
"SlezskĂ© zemskĂ© muzeum","67,606","1Â 058,384","0,000","113,701","161,040","0,000","1Â 333,125","H14_ico_00100595.xlsx","http://www.isvav.cz/h14/export/H14_ico_00100595.xlsx"
"SlovanskĂ˝ Ăşstav AV ÄŚR, v. v. i.","97,799","2Â 278,994","0,000","330,694","0,000","0,000","2Â 609,688","H14_ico_68378017.xlsx","http://www.isvav.cz/h14/export/H14_ico_68378017.xlsx"
"SocioFactor s.r.o.","0,000","0,000","0,000","0,000","55,238","0,000","55,238","H14_ico_28586336.xlsx","http://www.isvav.cz/h14/export/H14_ico_28586336.xlsx"
"SociologickĂ˝ Ăşstav AV ÄŚR, v. v. i.","267,390","5Â 945,976","0,000","863,083","345,996","18,466","7Â 173,521","H14_ico_68378025.xlsx","http://www.isvav.cz/h14/export/H14_ico_68378025.xlsx"
"StĂˇtnĂ­ Ăşstav jadernĂ©, chemickĂ© a biologickĂ© ochrany, v.v.i.","20,607","324,263","0,000","218,698","1Â 538,408","373,515","2Â 454,884","H14_ico_70565813.xlsx","http://www.isvav.cz/h14/export/H14_ico_70565813.xlsx"
"StĂˇtnĂ­ Ăşstav radiaÄŤnĂ­ ochrany, v.v.i.","73,149","1Â 221,661","0,000","350,637","1Â 905,628","865,022","4Â 342,948","H14_ico_86652052.xlsx","http://www.isvav.cz/h14/export/H14_ico_86652052.xlsx"
"StĂˇtnĂ­ zdravotnĂ­ Ăşstav se sĂ­dlem v Praze","213,718","5Â 653,260","0,000","738,884","1Â 006,013","66,140","7Â 464,297","H14_ico_75010330.xlsx","http://www.isvav.cz/h14/export/H14_ico_75010330.xlsx"
"StĹ™edisko spoleÄŤnĂ˝ch ÄŤinnostĂ­ AV ÄŚR, v. v. i.","1,000","2,701","0,000","0,000","0,000","0,000","2,701","H14_ico_60457856.xlsx","http://www.isvav.cz/h14/export/H14_ico_60457856.xlsx"
"SVĂšM a.s.","55,244","866,148","0,000","229,742","1Â 009,900","873,973","2Â 979,763","H14_ico_25797000.xlsx","http://www.isvav.cz/h14/export/H14_ico_25797000.xlsx"
"SVĂšOM s.r.o.","54,126","1Â 067,442","0,000","211,051","139,950","490,309","1Â 908,752","H14_ico_25794787.xlsx","http://www.isvav.cz/h14/export/H14_ico_25794787.xlsx"
"Ĺ KODA AUTO VYSOKĂ Ĺ KOLA o.p.s.","25,133","305,008","0,000","16,767","0,000","0,000","321,775","H14_ico_29142890.xlsx","http://www.isvav.cz/h14/export/H14_ico_29142890.xlsx"
"TechnickĂˇ univerzita v Liberci / Centrum dalĹˇĂ­ho vzdÄ›lĂˇvĂˇnĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_24630.xlsx","http://www.isvav.cz/h14/export/H14_orjk_24630.xlsx"
"TechnickĂˇ univerzita v Liberci / EkonomickĂˇ fakulta","215,877","3Â 029,628","0,000","309,949","53,759","116,434","3Â 509,770","H14_orjk_24310.xlsx","http://www.isvav.cz/h14/export/H14_orjk_24310.xlsx"
"TechnickĂˇ univerzita v Liberci / Fakulta mechatroniky, informatiky a mezioborovĂ˝ch studiĂ­","265,924","3Â 908,150","0,000","869,647","1Â 256,754","3Â 044,953","9Â 079,504","H14_orjk_24220.xlsx","http://www.isvav.cz/h14/export/H14_orjk_24220.xlsx"
"TechnickĂˇ univerzita v Liberci / Fakulta pĹ™Ă­rodovÄ›dnÄ›-humanitnĂ­ a pedagogickĂˇ","210,614","4Â 365,436","0,000","498,134","79,409","256,687","5Â 199,666","H14_orjk_24510.xlsx","http://www.isvav.cz/h14/export/H14_orjk_24510.xlsx"
"TechnickĂˇ univerzita v Liberci / Fakulta strojnĂ­","347,862","4Â 392,981","0,000","1Â 171,074","1Â 263,500","6Â 399,792","13Â 227,347","H14_orjk_24210.xlsx","http://www.isvav.cz/h14/export/H14_orjk_24210.xlsx"
"TechnickĂˇ univerzita v Liberci / Fakulta textilnĂ­","204,145","5Â 323,289","0,000","582,767","649,419","1Â 095,695","7Â 651,170","H14_orjk_24410.xlsx","http://www.isvav.cz/h14/export/H14_orjk_24410.xlsx"
"TechnickĂˇ univerzita v Liberci / Fakulta umÄ›nĂ­ a architektury","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_24520.xlsx","http://www.isvav.cz/h14/export/H14_orjk_24520.xlsx"
"TechnickĂˇ univerzita v Liberci / (nerozliĹˇenĂˇ souÄŤĂˇst)","1,500","16,439","0,000","2,889","0,000","12,452","31,780","H14_ico_46747885_.xlsx","http://www.isvav.cz/h14/export/H14_ico_46747885_.xlsx"
"TechnickĂˇ univerzita v Liberci / RektorĂˇt (univerzitnĂ­ knihovna, koleje a menzy)","0,000","0,000","0,000","20,007","200,071","0,000","220,078","H14_orjk_24810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_24810.xlsx"
"TechnickĂˇ univerzita v Liberci / Ăšstav pro nanomateriĂˇly, pokroÄŤilĂ© technologie a inovace","33,538","820,214","0,000","136,446","3Â 151,239","0,000","4Â 107,899","H14_orjk_24620.xlsx","http://www.isvav.cz/h14/export/H14_orjk_24620.xlsx"
"TechnickĂˇ univerzita v Liberci / Ăšstav zdravotnickĂ˝ch studiĂ­","7,047","57,769","0,000","5,777","0,000","0,000","63,546","H14_orjk_24610.xlsx","http://www.isvav.cz/h14/export/H14_orjk_24610.xlsx"
"TechnickĂ© muzeum v BrnÄ›","6,317","131,475","0,000","11,555","42,168","0,000","185,198","H14_ico_00101435.xlsx","http://www.isvav.cz/h14/export/H14_ico_00101435.xlsx"
"TechnologickĂ© centrum Akademie vÄ›d ÄŚeskĂ© republiky","47,882","572,272","0,000","157,019","182,611","166,559","1Â 078,461","H14_ico_60456540.xlsx","http://www.isvav.cz/h14/export/H14_ico_60456540.xlsx"
"TextilnĂ­ zkuĹˇebnĂ­ Ăşstav, s.p.","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_00013251.xlsx","http://www.isvav.cz/h14/export/H14_ico_00013251.xlsx"
"Thomayerova nemocnice","144,909","2Â 221,585","0,000","201,516","421,432","0,000","2Â 844,533","H14_ico_00064190.xlsx","http://www.isvav.cz/h14/export/H14_ico_00064190.xlsx"
"TOS NOVA - VĂ˝zkum, a.s.","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_29278872.xlsx","http://www.isvav.cz/h14/export/H14_ico_29278872.xlsx"
"UmÄ›leckoprĹŻmyslovĂ© museum v Praze","57,915","1Â 894,902","0,000","183,812","53,854","0,000","2Â 132,568","H14_ico_00023442.xlsx","http://www.isvav.cz/h14/export/H14_ico_00023442.xlsx"
"Univerzita Hradec KrĂˇlovĂ© / Fakulta informatiky a managementu","491,533","5Â 246,908","0,000","463,170","0,000","0,000","5Â 710,078","H14_orjk_18450.xlsx","http://www.isvav.cz/h14/export/H14_orjk_18450.xlsx"
"Univerzita Hradec KrĂˇlovĂ© / FilozofickĂˇ fakulta","258,774","4Â 285,757","0,000","426,189","0,000","0,000","4Â 711,946","H14_orjk_18460.xlsx","http://www.isvav.cz/h14/export/H14_orjk_18460.xlsx"
"Univerzita Hradec KrĂˇlovĂ© / (nerozliĹˇenĂˇ souÄŤĂˇst)","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_62690094_.xlsx","http://www.isvav.cz/h14/export/H14_ico_62690094_.xlsx"
"Univerzita Hradec KrĂˇlovĂ© / PedagogickĂˇ fakulta","398,274","6Â 056,066","0,000","638,592","15,621","100,990","6Â 811,269","H14_orjk_18440.xlsx","http://www.isvav.cz/h14/export/H14_orjk_18440.xlsx"
"Univerzita Hradec KrĂˇlovĂ© / PĹ™Ă­rodovÄ›deckĂˇ fakulta","205,886","2Â 544,699","0,000","202,609","10,000","92,549","2Â 849,857","H14_orjk_18470.xlsx","http://www.isvav.cz/h14/export/H14_orjk_18470.xlsx"
"Univerzita Hradec KrĂˇlovĂ© / RektorĂˇt","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_18810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_18810.xlsx"
"Univerzita Hradec KrĂˇlovĂ© / Ăšstav sociĂˇlnĂ­ prĂˇce","25,481","211,096","0,000","18,162","0,000","0,000","229,258","H14_orjk_18610.xlsx","http://www.isvav.cz/h14/export/H14_orjk_18610.xlsx"
"Univerzita Jana Amose KomenskĂ©ho Praha s.r.o.","22,097","456,534","0,000","31,755","0,000","0,000","488,289","H14_ico_46358978.xlsx","http://www.isvav.cz/h14/export/H14_ico_46358978.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / Centrum informatiky","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_13640.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13640.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / Fakulta sociĂˇlnÄ› ekonomickĂˇ","64,800","985,803","0,000","61,019","10,225","0,000","1Â 057,047","H14_orjk_13510.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13510.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / Fakulta umÄ›nĂ­ a designu","20,068","611,309","0,000","47,898","0,000","0,000","659,207","H14_orjk_13530.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13530.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / Fakulta vĂ˝robnĂ­ch technologiĂ­ a managementu","134,781","1Â 566,747","0,000","142,433","12,204","83,099","1Â 804,483","H14_orjk_13420.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13420.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / Fakulta zdravotnickĂ˝ch studiĂ­","8,134","55,531","0,000","6,288","7,738","0,000","69,557","H14_orjk_13450.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13450.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / Fakulta ĹľivotnĂ­ho prostĹ™edĂ­","109,938","1Â 802,875","0,000","348,556","495,968","1Â 014,448","3Â 661,847","H14_orjk_13520.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13520.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / FilozofickĂˇ fakulta","181,343","3Â 535,857","0,000","384,059","415,197","0,000","4Â 335,113","H14_orjk_13410.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13410.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / KnihkupectvĂ­ UJEP","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_13830.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13830.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / (nerozliĹˇenĂˇ souÄŤĂˇst)","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_44555601_.xlsx","http://www.isvav.cz/h14/export/H14_ico_44555601_.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / PedagogickĂˇ fakulta","180,227","3Â 445,471","0,000","340,835","0,000","0,000","3Â 786,306","H14_orjk_13430.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13430.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / PĹ™Ă­rodovÄ›deckĂˇ fakulta","154,261","5Â 568,979","0,000","551,627","4,778","288,764","6Â 414,148","H14_orjk_13440.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13440.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / RektorĂˇt","0,000","0,000","0,000","1,442","22,033","0,000","23,475","H14_orjk_13810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13810.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / UniverzitnĂ­ poradenskĂ© centrum","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_13650.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13650.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / Ăšstav humanitnĂ­ch studiĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_13660.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13660.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / Ăšstav slovansko-germĂˇnskĂ˝ch studiĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_13630.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13630.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / Ăšstav techniky a Ĺ™Ă­zenĂ­ vĂ˝roby","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_13620.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13620.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / VÄ›deckĂˇ knihovna","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_13680.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13680.xlsx"
"Univerzita Jana Evangelisty PurkynÄ› v ĂšstĂ­ nad Labem / VĂ˝zkumnĂ© centrum konkurenceschopnĂ©ho a udrĹľitelnĂ©ho rozvoje regionu","0,945","23,356","0,000","0,000","10,731","0,000","34,087","H14_orjk_13690.xlsx","http://www.isvav.cz/h14/export/H14_orjk_13690.xlsx"
"Univerzita Karlova v Praze / Agentura Rady vysokĂ˝ch Ĺˇkol","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_11700.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11700.xlsx"
"Univerzita Karlova v Praze / ArcibiskupskĂ˝ seminĂˇĹ™","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_11830.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11830.xlsx"
"Univerzita Karlova v Praze / Centrum pro ekonomickĂ˝ vĂ˝zkum a doktorskĂˇ studia","93,283","2Â 154,884","0,000","437,080","0,000","0,000","2Â 591,964","H14_orjk_11640.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11640.xlsx"
"Univerzita Karlova v Praze / Centrum pro otĂˇzky ĹľivotnĂ­ho prostĹ™edĂ­","60,318","2Â 446,005","0,000","209,555","226,512","39,788","2Â 921,860","H14_orjk_11690.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11690.xlsx"
"Univerzita Karlova v Praze / Centrum pro pĹ™enos poznatkĹŻ a technologiĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_11600.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11600.xlsx"
"Univerzita Karlova v Praze / Centrum pro teoretickĂˇ studia","52,888","2Â 895,926","0,000","433,974","0,000","0,000","3Â 329,900","H14_orjk_11620.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11620.xlsx"
"Univerzita Karlova v Praze / EvangelickĂˇ teologickĂˇ fakulta","167,133","2Â 824,408","0,000","542,342","0,000","0,000","3Â 366,750","H14_orjk_11270.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11270.xlsx"
"Univerzita Karlova v Praze / EvropskĂ© informaÄŤnĂ­ stĹ™edisko","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_11660.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11660.xlsx"
"Univerzita Karlova v Praze / Fakulta humanitnĂ­ch studiĂ­","391,198","8Â 790,256","0,000","1Â 060,858","155,452","25,556","10Â 032,122","H14_orjk_11240.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11240.xlsx"
"Univerzita Karlova v Praze / Fakulta sociĂˇlnĂ­ch vÄ›d","907,916","17Â 409,818","0,000","1Â 875,571","267,680","27,700","19Â 580,769","H14_orjk_11230.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11230.xlsx"
"Univerzita Karlova v Praze / Fakulta tÄ›lesnĂ© vĂ˝chovy a sportu","405,809","3Â 932,419","0,000","649,465","60,072","108,548","4Â 750,504","H14_orjk_11510.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11510.xlsx"
"Univerzita Karlova v Praze / FarmaceutickĂˇ fakulta v Hradci KrĂˇlovĂ©","495,246","20Â 984,799","0,000","2Â 105,786","284,079","146,639","23Â 521,303","H14_orjk_11160.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11160.xlsx"
"Univerzita Karlova v Praze / FilozofickĂˇ fakulta","2Â 265,673","45Â 873,559","0,000","5Â 498,241","526,734","406,408","52Â 304,942","H14_orjk_11210.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11210.xlsx"
"Univerzita Karlova v Praze / HusitskĂˇ teologickĂˇ fakulta","114,439","1Â 768,403","0,000","207,785","0,000","0,000","1Â 976,188","H14_orjk_11280.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11280.xlsx"
"Univerzita Karlova v Praze / KatolickĂˇ teologickĂˇ fakulta","109,148","2Â 398,201","0,000","247,886","122,204","0,000","2Â 768,291","H14_orjk_11260.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11260.xlsx"
"Univerzita Karlova v Praze / LĂ©kaĹ™skĂˇ fakulta v Hradci KrĂˇlovĂ©","928,419","16Â 487,960","0,000","1Â 905,980","341,539","124,891","18Â 860,370","H14_orjk_11150.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11150.xlsx"
"Univerzita Karlova v Praze / LĂ©kaĹ™skĂˇ fakulta v Plzni","592,146","11Â 010,727","0,000","1Â 213,024","688,250","91,524","13Â 003,525","H14_orjk_11140.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11140.xlsx"
"Univerzita Karlova v Praze / Matematicko-fyzikĂˇlnĂ­ fakulta","3Â 084,656","137Â 396,553","2Â 000,000","17Â 717,564","1Â 455,974","3Â 992,806","162Â 562,897","H14_orjk_11320.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11320.xlsx"
"Univerzita Karlova v Praze / NakladatelstvĂ­ Karolinum","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_11840.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11840.xlsx"
"Univerzita Karlova v Praze / (nerozliĹˇenĂˇ souÄŤĂˇst)","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_ico_00216208_.xlsx","http://www.isvav.cz/h14/export/H14_ico_00216208_.xlsx"
"Univerzita Karlova v Praze / PedagogickĂˇ fakulta","624,156","10Â 078,079","0,000","1Â 075,589","156,871","0,000","11Â 310,539","H14_orjk_11410.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11410.xlsx"
"Univerzita Karlova v Praze / PrĂˇvnickĂˇ fakulta","770,050","10Â 046,457","0,000","1Â 357,240","117,990","7,215","11Â 528,902","H14_orjk_11220.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11220.xlsx"
"Univerzita Karlova v Praze / PĹ™Ă­rodovÄ›deckĂˇ fakulta","2Â 298,147","112Â 348,408","2Â 000,000","14Â 028,926","1Â 034,964","4Â 190,677","133Â 602,975","H14_orjk_11310.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11310.xlsx"
"Univerzita Karlova v Praze / RektorĂˇt","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_11810.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11810.xlsx"
"Univerzita Karlova v Praze / SportovnĂ­ centrum","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_11860.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11860.xlsx"
"Univerzita Karlova v Praze / SprĂˇva budov a zaĹ™Ă­zenĂ­","0,000","0,000","0,000","0,000","0,000","0,000","0,000","H14_orjk_11850.xlsx","http://www.isvav.cz/h14/export/H14_orjk_11850.xlsx"
